TDP,air_velocity,tim_conductivity,thermal_resistance,junction_temperature
40,1.5,5,0.3470354966776128,38.88141986710451
40,1.5,6,0.3456245619333448,38.82498247733379
40,1.5,7,0.3446167514017247,38.78467005606899
40,1.5,8,0.34386089350300963,38.754435740120385
40,1.5,9,0.3432730040262313,38.730920161049255
40,1.5,10,0.3428026924448086,38.71210769779235
40,1.5,11,0.3424178920600082,38.69671568240033
40,1.5,12,0.3420972250726746,38.68388900290698
40,2.0,1,0.36822714103628273,39.729085641451306
40,2.0,2,0.34706311987226157,38.882524794890465
40,2.0,3,0.3400084461509212,38.60033784603685
40,2.0,4,0.336481109290251,38.45924437161004
40,2.0,5,0.3343647071738488,38.37458828695395
40,2.0,6,0.3329537724295808,38.31815089718323
40,2.0,7,0.3319459618979607,38.27783847591843
40,2.0,8,0.33119010399924564,38.247604159969825
40,2.0,9,0.3306022145224673,38.224088580898695
40,2.0,10,0.3301319029410446,38.20527611764179
40,2.0,11,0.32974710255624423,38.18988410224977
40,2.0,12,0.3294264355689106,38.17705742275642
40,2.5,1,0.3592024124732587,39.36809649893035
40,2.5,2,0.3380383913092375,38.5215356523695
40,2.5,3,0.33098371758789713,38.23934870351589
40,2.5,4,0.32745638072722694,38.09825522908908
40,2.5,5,0.32533997861082475,38.01359914443299
40,2.5,6,0.3239290438665567,37.957161754662266
40,2.5,7,0.32292123333493666,37.916849333397465
40,2.5,8,0.3221653754362216,37.88661501744886
40,2.5,9,0.32157748595944324,37.86309943837773
40,2.5,10,0.32110717437802055,37.84428697512082
40,2.5,11,0.3207223739932202,37.82889495972881
40,2.5,12,0.3204017070058865,37.816068280235456
40,3.0,1,0.3523110354874681,39.092441419498726
40,3.0,2,0.33114701432344695,38.24588057293788
40,3.0,3,0.32409234060210657,37.963693624084264
40,3.0,4,0.32056500374143637,37.822600149657454
40,3.0,5,0.3184486016250343,37.73794406500137
40,3.0,6,0.3170376668807662,37.68150667523065
40,3.0,7,0.31602985634914615,37.64119425396585
40,3.0,8,0.3152739984504311,37.610959938017245
40,3.0,9,0.31468610897365273,37.58744435894611
40,3.0,10,0.31421579739223005,37.5686318956892
40,3.0,11,0.31383099700742967,37.553239880297184
40,3.0,12,0.313510330020096,37.54041320080384
40,3.5,1,0.3468024549630359,38.872098198521435
40,3.5,2,0.32563843379901475,38.025537351960594
40,3.5,3,0.31858376007767436,37.74335040310697
40,3.5,4,0.31505642321700417,37.60225692868016
40,3.5,5,0.31294002110060204,37.51760084402408
40,3.5,6,0.311529086356334,37.46116345425336
40,3.5,7,0.3105212758247139,37.42085103298855
40,3.5,8,0.3097654179259989,37.390616717039954
40,3.5,9,0.30917752844922053,37.36710113796882
40,3.5,10,0.3087072168677978,37.34828867471191
40,3.5,11,0.3083224164829974,37.3328966593199
40,3.5,12,0.3080017494956638,37.32006997982655
40,4.0,1,0.3422542231936968,38.69016892774788
40,4.0,2,0.32109020202967564,37.84360808118703
40,4.0,3,0.31403552830833525,37.56142113233341
40,4.0,4,0.31050819144766506,37.420327657906604
40,4.0,5,0.308391789331263,37.33567157325052
40,4.0,6,0.30698085458699487,37.279234183479794
40,4.0,7,0.30597304405537484,37.23892176221499
40,4.0,8,0.30521718615665977,37.20868744626639
40,4.0,9,0.3046292966798814,37.18517186719526
40,4.0,10,0.30415898509845873,37.16635940393835
40,4.0,11,0.30377418471365836,37.150967388546334
40,4.0,12,0.3034535177263247,37.13814070905299
40,4.5,1,0.3384070366053427,38.53628146421371
40,4.5,2,0.31724301544132155,37.68972061765286
40,4.5,3,0.31018834171998116,37.407533668799246
40,4.5,4,0.30666100485931097,37.266440194372436
40,4.5,5,0.30454460274290884,37.181784109716354
40,4.5,6,0.3031336679986408,37.12534671994563
40,4.5,7,0.3021258574670207,37.085034298680824
40,4.5,8,0.3013699995683057,37.05479998273223
40,4.5,9,0.30078211009152733,37.03128440366109
40,4.5,10,0.3003117985101046,37.01247194040418
40,4.5,11,0.2999269981253042,36.99707992501217
40,4.5,12,0.2996063311379706,36.98425324551882
40,5.0,1,0.33509129138636085,38.40365165545443
40,5.0,2,0.3139272702223397,37.55709080889359
40,5.0,3,0.3068725965009993,37.27490386003997
40,5.0,4,0.3033452596403291,37.13381038561316
40,5.0,5,0.30122885752392703,37.049154300957085
